timezone,no_accents,macroregion,uf_code,document,name,job,jobArea,jobType,phoneNumber,birthDate,city,totalSpent,PESSOA,Ano
America/Rio_Branco,Acre,Norte,AC,74061160604287,Srta. Almir Pereira,Estrategista Marketing Global,Táticas,Ligação,555431173316.0,1990-01-23,Vila Adelia do Norte,603.46,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,26493587263,Goretti Carvalho,Agente Segurança Central,Mercados,Engenheiro,557173406339.0,1990-01-10,,382.06,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,28716873157,Srta. Yvonne Xavier,Técnico Aplicações Diretor,Marca,Desenvolvedor,12551717327.0,1990-01-07,,506.75,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,36258661378,Sra. Joberto Pereira Filho,,Paradigma,Administrador,551998957636.0,1990-01-12,Rozania do Descoberto,193.91,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,26121960647,Jurucê,Executivo Marketing Chefe,Divisão,,551953576743.0,1990-01-18,Reis do Descoberto,241.04,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,70439495482,Lervis Xavier Neto,Engenheiro Pesquisa Corporativo,Táticas,Coordenador,94459137125.0,1990-01-14,Velha Arlette,290.16,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,32161663259,Elmo Pereira,Técnico Prestação de contas Internacional,Divisão,Assistente,155042968.0,1990-01-21,,233.71,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,32081340212528,Sr. Dr. Saulo Costa Filho,Administrador A infraestrutura Distrito,Usabilidade,Diretor,81704996.0,1990-01-03,,240.82,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,48555374383,Christine Neto,Especialista Configuração Global,Garantia,Arquiteto,4216287477.0,1990-01-24,Ryoko de Nossa Senhora,821.29,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,47177426485,Adelson Moraes Neto,Coordenador Dados Corporativo,Integração,Analista,,1990-01-07,Vila Dina,640.05,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,5354740885400,Mauritius Melo Neto,Planejador Branding Frente,Identidade,Diretor,11348677745.0,1990-01-14,Maurizio de Nossa Senhora,731.27,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,83925827137,Nora Silva,Administrador Mercados Direto,Resposta,Facilitador,3844494687.0,1990-01-21,Braga de Nossa Senhora,930.16,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,41068140073305,Adda Carvalho,Técnico Divisão Nacional,Funcionalidade,Supervisor,28780481613.0,1990-07-01,Grande Erick,896.11,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,21192371828,Heleno Braga,Supervisor Interações Legado,Criativo,Diretor,554528189378.0,1990-01-10,,290.59,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,62854327322,Gildete Jr.,Designer Dados Nacional,Fatores,Engenheiro,367210725.0,1990-01-21,Franco de Nossa Senhora,529.29,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,35680030364458,Dr. Srta. Aletéia Moraes,Supervisor Táticas Central,,Analista,6816872354.0,1990-01-21,Franco de Nossa Senhora,623.1,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,92723395618,Jailton Silva,Executivo Fatores Nacional,Identidade,Analista,557147858267.0,1990-01-04,Reis do Norte,572.06,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,44748569700,Jânio Martins Jr.,Gerente Mobilidade Direto,Comunicações,Engenheiro,2845797509.0,1990-01-29,Edneu do Norte,100.25,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,68128693840,Dr. Dr. Alberto Souza,Assistente Configuração Direto,Branding,Planejador,,1990-01-12,,205.08,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,40538516291,Thereza Neto,Oficial Mobilidade Direto,Criativo,,4424920027.0,1990-01-19,,164.54,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,25008827138,Érica Carvalho Jr.,Especialista Segurança Sênior,Rede,Analista,57100474309.0,1990-01-07,,955.3,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,13017568673234,Sr. Nanci Neto,Executivo Implementação Direto,Implementação,Analista,45126650767.0,1990-01-14,Nova Benilde do Sul,421.96,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,97914231134,Emir Oliveira,Consultor Implementação Diretor,Grupo,Coordenador,5717518014.0,1990-01-01,,930.1,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,75212865700,Srta. Danae Martins,Engenheiro Segurança Regional,Identidade,Desenvolvedor,60539598927.0,1990-01-01,,179.03,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,15831182681,Geny Oliveira,Consultor A infraestrutura Legado,Rede,Arquiteto,71230666801.0,1990-01-14,Nova Stanislav do Norte,869.88,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,5838458356,Michela Souza,Executivo Marca Regional,Branding,Técnico,57854217575.0,1990-01-24,Nova Dalva do Norte,722.13,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,54033786260,Ana Nogueira Neto,Produtor Marca Diretor,Mercados,Planejador,3815206801.0,1990-01-28,Joao de Nossa Senhora,605.51,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,6016245020461,Sra. Edson Braga Filho,Oficial Marca Sênior,Funcionalidade,Oficial,3147614646.0,1990-01-31,Velha Inês de Nossa Senhora,202.6,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,11823345719,Caio Franco,Ligação Branding Líder,Métricas,Planejador,552932254823.0,1990-06-01,Vila Jeferson do Norte,296.66,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,41927219965,Sr. Ednilton Franco,Agente Programa Frente,Segurança,Diretor,550513365616.0,1990-01-01,,136.03,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,91212143604,Marizete Moraes Filho,,Pesquisa,,557818802912.0,1990-01-04,,414.78,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,87411120596,Srta. Evaristo Reis,Consultor Otimização Chefe,Divisão,Estrategista,554107731209.0,1990-01-30,,846.75,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,71037842582351,Givanildo Franco Neto Neto,Estrategista Táticas Central,,Ligação,95304122467.0,1990-01-02,Sadako do Sul,787.84,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,66513523508,Tabajara Martins,Especialista Operações Líder,Programa,Representante,556138818283.0,1990-01-26,Município de Ruth,48.4,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,21528203815277,Juracy Carvalho,Produtor Marketing Interno,Implementação,Executivo,8303811884.0,1990-01-14,Grande Ryoko,97.24,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,73636233728659,Hideo Pereira Filho Neto,Designer Grupo Interno,Implementação,Supervisor,558840759751.0,1990-01-04,Velha Vitorio,967.44,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,75638846379,Dr. Zenaide Franco Filho,Designer Otimização Corporativo,,Diretor,6953894423.0,1990-01-20,Moraes de Nossa Senhora,797.79,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,18568342106081,Edilberto Macedo,Oficial Identidade Frente,Mercados,Arquiteto,59737142187.0,1990-09-01,Grande Nercy,,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,64740679426,Sra. Sra. Rocío Pereira Filho,Analista Intranet Internacional,Identidade,,558854517905.0,1990-01-07,Município de Adnilson,700.63,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,77423267548200,Fellipe Saraiva Neto,Planejador Contas Dinâmico,Implementação,Engenheiro,7211460148.0,1990-01-21,Flavia de Nossa Senhora,120.48,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,33507573481325,Kelly Albuquerque Jr.,Desenvolvedor Operações Direto,,,34123695616.0,1990-01-21,Odineide do Descoberto,25.6,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,73788414775275,Srta. Álvaro,Analista Marketing Chefe,Integração,Assistente,554895074987.0,1990-01-07,Velha Wany,568.78,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,86918616064,Raimunda Oliveira,Analista Segurança Sênior,Mercados,Planejador,559022968896.0,1990-01-29,Município de Gylson,86.16,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,55698865086,Dayani Costa Filho,Assistente Branding Dinâmico,Criativo,Produtor,74384482384.0,1990-01-11,Velha Lívia,866.83,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,4824521802601,Sra. Zenaide,Estrategista Grupo Cliente,Marca,Analista,555246365973.0,1990-01-13,Juana de Nossa Senhora,912.5,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,66868315309,Sra. Benilde Reis,Consultor Diretivas Direto,Resposta,Designer,33170015684.0,1990-01-03,Velha Neuza do Sul,546.49,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,38710054448,Joubert Reis,Especialista Paradigma Frente,Usabilidade,Facilitador,8912938401.0,1990-01-22,Nova Renne do Descoberto,797.11,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,7763385103,Zdravko Carvalho,Facilitador Interações Nacional,Programa,Diretor,2460871231.0,1990-01-24,Valnir de Nossa Senhora,869.22,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,38952045793,Liodonio Neto,Representante Interações Legado,Dados,Associado,9377267759.0,1990-01-23,,507.73,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,58617121231134,Thaiza Carvalho,Executivo Rede Dinâmico,Aplicações,,4064293363.0,1990-01-28,,985.38,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,71781796866,Andréa Neto,Oficial Funcionalidade Dinâmico,Otimização,,9937846674.0,1990-01-29,Grande Claudir do Descoberto,235.14,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,81764210857032,Sr. Donizete Moraes,,Otimização,Planejador,44104517427.0,1990-01-07,Saraiva de Nossa Senhora,953.48,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,73384360885,Terezinha Barros Neto,Ligação Rede Líder,Contas,Especialista,5914367273.0,1990-01-07,Berenice do Norte,597.74,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,17334579330,Celia Xavier Neto,Designer Usabilidade Líder,Comunicações,Assistente,13362474077.0,1990-01-09,Maisa do Descoberto,272.9,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,26645110354508,Marino Albuquerque,Diretor Branding Diretor,Ainfraestrutura,Agente,6785546570.0,1990-01-13,Nailton do Sul,771.08,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,63027360566,Virgínia Saraiva,Agente Contas Legado,Segurança,Designer,72951112289.0,1990-01-01,Priscila do Descoberto,819.74,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,52466331284,Sra. Sra. Arnesto Pereira,Engenheiro Prestação de contas Corporativo,Marketing,Coordenador,81986367453.0,1990-01-20,Velha Cleuni do Norte,555.91,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,86175443845,Flavia Souza Filho,Consultor Criativo Corporativo,Usabilidade,Assistente,554680203763.0,1990-01-14,Município de Alessandro do Sul,175.08,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,96355623060,Sr. He Souza Filho,,Marketing,Facilitador,,1990-01-11,Nova Alcirio de Nossa Senhora,370.59,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,1964738377,Isauro,Analista Grupo Corporativo,Paradigma,Facilitador,91629932793.0,1990-05-01,,0.42,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,41650446012,Gildete Neto,Engenheiro Contas Investidor,Pesquisa,Técnico,556948200201.0,1990-01-05,Saraiva do Norte,837.09,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,84758434689,Guadalupe Braga,Diretor Rede Diretor,Contas,Representante,5581303454.0,1990-01-01,,481.49,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,86310485155090,Scheila Macedo Jr.,Associado Aplicações Chefe,Divisão,Estrategista,55446183358.0,1990-01-25,Carvalho do Descoberto,480.27,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,76287611600,Yumi Barros,Assistente Soluções Nacional,Programa,Consultor,550882327595.0,1990-01-30,Milena do Descoberto,563.32,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,14841874585,Sr. Alcimar,Designer Configuração Líder,Segurança,Administrador,,1990-01-11,Pereira do Sul,400.96,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,48033962216,Izilda Pereira,Especialista Intranet Investidor,Fatores,Supervisor,19375586351.0,1990-01-19,Franco do Norte,93.79,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,75130638275404,Sofia Macedo Filho Jr.,Arquiteto A infraestrutura Global,Divisão,Designer,557759972567.0,1990-01-09,Sirlene do Sul,678.19,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,88717739349,Valmir Franco,,,Ligação,80062342538.0,1990-01-02,Batista de Nossa Senhora,793.37,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,58204529503,Oldaque Moraes,Produtor Prestação de contas Legado,Segurança,Planejador,23797702205.0,1990-01-15,Xavier do Descoberto,266.21,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,81420422316,Catsutochi,,Segurança,Administrador,559107765389.0,1990-01-16,Grande Marilene,719.85,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,7418660556240,Carmencita Souza,Arquiteto Prestação de contas Distrito,Branding,,7607685161.0,1990-01-19,Moraes do Sul,256.26,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,76477840247425,Srta. Fabrisa Moreira Jr.,Analista Usabilidade Internacional,Usabilidade,Especialista,,1990-01-09,Viviane de Nossa Senhora,970.74,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,16158571048639,Elizabete Santos,Administrador Funcionalidade Investidor,Prestaçãodecontas,Facilitador,7696536666.0,1990-01-16,Município de Heloisa do Descoberto,616.61,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,11441284710,Jimena Saraiva,Coordenador Rede Diretor,Identidade,Gerente,19728091927.0,1990-01-28,Cristiano do Sul,394.09,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,32137433303,Sr. Consuelo Franco Jr.,Especialista Rede Internacional,Funcionalidade,Desenvolvedor,553294901519.0,1990-01-03,Vila Margarida,824.12,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,14418161430,Zenaide Jr.,Produtor Usabilidade Sênior,Comunicações,Ligação,555912648112.0,1990-01-23,Grande Ediraci,854.17,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,83760337512702,Sra. Viturino Batista Neto,Representante Soluções Global,Branding,Executivo,553461373988.0,1990-01-21,Velha Mônica do Norte,852.05,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,27445688722,Dr. Srta. Hilca Costa,Associado A infraestrutura Legado,Soluções,Analista,5148291837.0,1990-01-24,,114.23,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,56208885418,Carla Nogueira Neto,Orquestrador Intranet Corporativo,Usabilidade,Consultor,,1990-01-27,Benicio do Descoberto,962.3,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,62681944384,Jael Franco Filho,Estrategista Divisão Líder,,Engenheiro,555656578523.0,1990-01-17,,382.48,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,12232780622690,Sra. Istadeu Martins,Orquestrador Usabilidade Diretor,Métricas,Assistente,17093913997.0,1990-01-09,Dayani do Sul,179.01,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,31508562753431,Isidório Reis,Orquestrador Usabilidade Global,Branding,Facilitador,8655054076.0,1990-01-20,Xavier do Sul,624.78,JURIDICA,1990
America/Rio_Branco,Acre,Norte,AC,95285808588,Sra. Josenaldo,Representante Garantia Internacional,Implementação,Associado,29306216839.0,1990-01-02,Nancy do Descoberto,859.56,FISICA,1990
America/Rio_Branco,Acre,Norte,AC,67568844412,Eliude Silva,Executivo Paradigma Global,Marketing,Orquestrador,556031255677.0,1990-01-13,Velha Clebson do Norte,716.55,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,21265587116,Severina Silva,,Marca,Gerente,16529013738.0,1990-12-01,,,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,45563164306,Andréia Franco,Gerente Identidade Chefe,Fatores,Planejador,552720921060.0,1990-01-17,,602.9,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,48423726215,Vanderlene,Especialista Branding Distrito,Táticas,Gerente,6438773991.0,1990-01-20,Nova Andreia,750.06,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,41241723251162,Leslie,Especialista Diretivas Diretor,Comunicações,Associado,556765507024.0,1990-01-18,Macedo do Descoberto,258.27,JURIDICA,1990
America/Maceio,Alagoas,Nordeste,AL,64428679270,Elete,Técnico Usabilidade Central,Configuração,Facilitador,6987749569.0,1990-01-27,Albuquerque do Descoberto,431.0,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,86982365530,Dr. Benedita Braga,Assistente Otimização Direto,Garantia,Designer,558918124606.0,1990-01-24,Oliveira de Nossa Senhora,895.38,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,74186807671,Katias Martins Neto,Técnico Mercados Nacional,Ainfraestrutura,Administrador,558729422150.0,1990-01-31,Franco de Nossa Senhora,669.98,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,28679098728,Walquiria Souza,Agente Métricas Frente,Comunicações,Associado,72374060234.0,1990-01-24,Oliveira do Norte,232.02,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,52538233445,Ivani Santos,,Intranet,Planejador,2196371886.0,1990-01-13,Teófilo de Nossa Senhora,766.15,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,37276845268869,Rocio Souza,Produtor Mercados Chefe,Configuração,Planejador,37282206534.0,1990-01-27,Reis de Nossa Senhora,42.73,JURIDICA,1990
America/Maceio,Alagoas,Nordeste,AL,13054364585,Desirê Reis,Técnico Fatores Global,Interações,Orquestrador,559961474881.0,1990-01-10,Xavier do Sul,911.39,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,18203035191,Srta. Volney,Designer Mercados Distrito,Tticas,Analista,1757225479.0,1990-01-30,,830.87,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,57465337500,Vladia Moraes Neto,Associado Identidade Líder,,Técnico,57746514681.0,1990-01-06,Município de Enaldyê do Norte,29.58,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,83504212667,Srta. Ary Oliveira,Consultor Diretivas Dinâmico,Rede,Arquiteto,94180651819.0,1990-01-27,Braga do Descoberto,311.53,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,69614931221,Srta. Airton Carvalho,Especialista Marketing Distrito,Branding,Supervisor,3811455378.0,1990-01-16,Nova Avani do Sul,360.09,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,12868362125,Dr. Jânio Moreira Jr.,Facilitador Comunicações Dinâmico,Contas,Consultor,18174959108.0,1990-01-14,,914.36,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,21581145179,Ednilson Silva,Produtor Integração Sênior,Diretivas,Executivo,47326862872.0,1990-01-26,Oliveira do Norte,581.26,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,14512155848,Deborah Macedo,Especialista Dados Líder,Soluções,Produtor,558183074993.0,1990-01-31,Nova Geny do Sul,945.79,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,12841123570,Raul Batista,Técnico Criativo Sênior,Grupo,Analista,12045199249.0,1990-01-03,Nova Renate,799.84,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,42528742894,Sr. Roverlei Xavier,Estrategista Garantia Líder,Branding,Oficial,9009459177.0,1990-01-17,Município de Paschoal do Descoberto,812.23,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,41026364710,Juliana Saraiva Jr.,Administrador Otimização Dinâmico,Qualidade,Diretor,484798353.0,1990-01-06,Vila Yukiko,253.46,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,6827342306400,Sr. Walter Souza Neto,Ligação Otimização Internacional,Mercados,Gerente,7517591509.0,1990-01-24,Walpheu do Norte,152.36,JURIDICA,1990
America/Maceio,Alagoas,Nordeste,AL,83755788357,Yumi Moreira,Técnico Soluções Investidor,Prestaçãodecontas,Diretor,22801956639.0,1990-01-05,Silva do Descoberto,118.5,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,6861723253884,Otacílio Barros,Facilitador Operações Investidor,Identidade,Coordenador,45934501750.0,1990-01-01,Grande Odival de Nossa Senhora,529.01,JURIDICA,1990
America/Maceio,Alagoas,Nordeste,AL,66308826448,Sr. Tomico Moraes,Coordenador Usabilidade Internacional,Táticas,Agente,94374283906.0,1990-01-21,Souza de Nossa Senhora,926.44,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,62920136500,Eliete,Orquestrador Programa Frente,Paradigma,Representante,556925804450.0,1990-01-18,Luiz do Descoberto,617.31,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,27996984255,Teotonio Barros,Produtor Garantia Diretor,Dados,Oficial,35081752547.0,1990-01-03,Natalia do Norte,79.84,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,27171661733,Amilcar Albuquerque Jr.,Diretor Comunicações Sênior,Marca,Técnico,551474492954.0,1990-01-01,Moraes do Norte,660.53,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,43733540547129,Elete Oliveira,Planejador Implementação Legado,Ainfraestrutura,Técnico,555210664589.0,1990-01-28,,657.93,JURIDICA,1990
America/Maceio,Alagoas,Nordeste,AL,97576756446,Srta. Valdimar,Técnico Prestação de contas Corporativo,Contas,Orquestrador,8607860846.0,1990-01-31,Nova Edmur,304.03,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,55744745734,June Santos,Arquiteto Soluções Líder,Identidade,Designer,7402183336.0,1990-01-03,Vila Gláucia,647.44,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,14686067600,Rubem Franco Neto,Engenheiro Comunicações Líder,Grupo,Administrador,552604679802.0,1990-01-13,Saraiva do Sul,20.33,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,25162788538,Enithevaldo Nogueira,Associado Mobilidade Central,Marca,Executivo,5836546556.0,1990-01-28,,469.29,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,54843644501,Joberto Macedo Neto Jr.,Desenvolvedor Paradigma Distrito,Prestaçãodecontas,Engenheiro,8864391526.0,1990-01-01,Souza do Sul,704.33,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,36080704806309,Thami Pereira Filho,Produtor Marca Direto,Intranet,Arquiteto,458917519.0,1990-01-26,Grande Sirlei,23.87,JURIDICA,1990
America/Maceio,Alagoas,Nordeste,AL,47459753173,Juvêncio Nogueira,Associado Diretivas Regional,Usabilidade,Engenheiro,46604908224.0,1990-01-25,Velha Clebio,353.43,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,53738878548,Zenilde Oliveira Jr.,Coordenador Configuração Produtos,Métricas,Diretor,553133769729.0,1990-01-23,Galo do Sul,431.94,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,68477543623,Sra. Genezio Pereira,Arquiteto A infraestrutura Legado,Aplicações,Arquiteto,,1990-01-07,Barros do Sul,31.07,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,45316953215,Edemilson Moreira Filho,Gerente Otimização Nacional,Fatores,Estrategista,57505515061.0,1990-01-30,Município de Luciana do Sul,124.9,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,45405632478200,Rodrigo Santos,Especialista Criativo Diretor,Integração,Planejador,47826939686.0,1990-01-26,Município de Marilson,260.09,JURIDICA,1990
America/Maceio,Alagoas,Nordeste,AL,4397256403,Srta. Shokem Santos,,Otimização,Administrador,4070240413.0,1990-01-03,,368.28,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,37647684795,Marcele Oliveira Jr.,Diretor Qualidade Sênior,Implementação,Planejador,7053615464.0,1990-01-12,Zenglein do Sul,44.5,FISICA,1990
America/Maceio,Alagoas,Nordeste,AL,37187055860188,Ruy Saraiva,Administrador Métricas Interno,Ainfraestrutura,,551251144342.0,1990-01-22,Waldeli de Nossa Senhora,533.73,JURIDICA,1990
