nomes,idade,cidade,estado,cpf,cnpj,isvalid_cpf,isvalid_cnpj
Jennifer Herrera,44,ÁGUA BRANCA,AL,05944330538,44338019631100,True,True
Michael Anderson,47,ALVARÃES,AM,25816374206,04705908871616,True,True
Mr. Derrick Walker Iii,67,SERRA DO NAVIO,AP,86709815722,72983983233406,True,True
Lisa Adams,56,ABAÍRA,BA,17102683367,07752430833070,True,True
Phyllis Davis,81,ABAIARA,CE,10941674363,25441970136802,True,True
Kimberly Gaines,26,BRASÍLIA,DF,58990464145,51208722841996,True,True
Erika White,39,AFONSO CLÁUDIO,ES,86455095987,50531473539297,True,True
Stephanie Petersen,32,ABADIA DE GOIÁS,GO,20318573202,32598177031430,True,True
Timothy Thomas,57,AÇAILÂNDIA,MA,22135657409,83845376709590,True,True
Travis Griffin,23,ABADIA DOS DOURADOS,MG,19965886725,92969475277410,True,True
John Robinson,31,ÁGUA CLARA,MS,80671201379,08547368162755,True,True
Emily Smith,79,ACORIZAL,MT,31530403626,30097397584110,True,True
Tyler Fernandez,26,ABAETETUBA,PA,66089333204,85336615215932,True,True
Steven Martinez,37,ÁGUA BRANCA,PB,75262527701,99235616826457,True,True
Meghan Coffey,63,ABREU E LIMA,PE,66635918191,47268825370408,True,True
John Holmes,85,ACAUÃ,PI,07291253276,25881963791528,True,True
Jordan Brock,61,ABATIÁ,PR,29341177405,04081082954281,True,True
Stephanie Mendez,66,ANGRA DOS REIS,RJ,04752838800,82804534288805,True,True
Adrian Bryant,33,ACARI,RN,01562495020,97740191451412,True,True
Jose Burton,65,ALTA FLORESTA D'OESTE,RO,59565808875,35151610774001,True,True
Christopher Knight,76,AMAJARI,RR,85213801277,70860699845790,True,True
Tiffany Carrillo,61,ACEGUÁ,RS,47122359344,67964379096560,True,True
John Mcdonald,44,ABDON BATISTA,SC,26459873704,41080118373937,True,True
Dalton Pierce,32,AMPARO DE SÃO FRANCISCO,SE,77939530534,49747484805124,True,True
Michael Castillo,89,ADAMANTINA,SP,11161836179,76065114066603,True,True
Amanda Barnett,37,ABREULÂNDIA,TO,29594053828,98967609682620,True,True
Jeffrey King,90,ACRELÂNDIA,AC,50066235944,15245381240961,True,True
Alex Murphy,34,ÁGUA BRANCA,AL,83064446398,19340044456087,True,True
Ryan Greene,82,ALVARÃES,AM,88527388600,20318973896125,True,True
Jennifer Bridges,26,SERRA DO NAVIO,AP,53239536242,53269139784690,True,True
Gregory Hughes,26,ABAÍRA,BA,99036807670,88470340152903,True,True
John Marshall,60,ABAIARA,CE,98671530817,13776589478708,True,True
Carol Perkins,24,BRASÍLIA,DF,34498482166,69068120112863,True,True
Julie Delgado,81,AFONSO CLÁUDIO,ES,62640338471,90383600838857,True,True
Hannah Hines,32,ABADIA DE GOIÁS,GO,20925286702,56685168062758,True,True
Joseph Gray,30,AÇAILÂNDIA,MA,45049201152,83634083265908,True,True
Christopher Harper,75,ABADIA DOS DOURADOS,MG,96242416190,53504090391121,True,True
Jason Williams,45,ÁGUA CLARA,MS,01081434490,25372710988314,True,True
Michael Taylor,52,ACORIZAL,MT,20428558984,23175643888440,True,True
Ashley Edwards,89,ABAETETUBA,PA,98621300753,45128781305324,True,True
Stacey Harris,64,ÁGUA BRANCA,PB,67999957410,86389884893405,True,True
Mary Mendez,37,ABREU E LIMA,PE,83291155939,86650022725516,True,True
Lynn Hancock Md,44,ACAUÃ,PI,48776888118,96434425424972,True,True
David Stevens,89,ABATIÁ,PR,62636269177,84064557299700,True,True
Anthony Jones,49,ANGRA DOS REIS,RJ,34492787119,42082003216920,True,True
Kelly Pena,59,ACARI,RN,08890379650,23232921240305,True,True
Michelle Bennett,51,ALTA FLORESTA D'OESTE,RO,50310567467,43603711768029,True,True
James Li,40,AMAJARI,RR,04812150426,93917858098821,True,True
Michael Thomas,87,ACEGUÁ,RS,24543065654,07723578866503,True,True
Bethany Diaz,27,ABDON BATISTA,SC,62099648506,00003495644263,True,True
Anthony Howard,57,AMPARO DE SÃO FRANCISCO,SE,83669510656,64352959508474,True,True
Carlos Payne,61,ADAMANTINA,SP,35122289093,13257452253494,True,True
Craig Walker,71,ABREULÂNDIA,TO,74257783192,20137525954931,True,True
Kyle Williams,81,ACRELÂNDIA,AC,91581794886,53415639743407,True,True
Roy Townsend,48,ÁGUA BRANCA,AL,08507983375,76387898355108,True,True
Joseph Elliott,37,ALVARÃES,AM,99115506134,67475348317819,True,True
Joseph Ho,28,SERRA DO NAVIO,AP,49329225829,16966018967679,True,True
Darrell Sexton,51,ABAÍRA,BA,15368324219,61946809829469,True,True
Joseph Turner,87,ABAIARA,CE,30858177358,66737056871787,True,True
Heather Thomas,64,BRASÍLIA,DF,98851634769,68313717263993,True,True
Dawn Jones,21,AFONSO CLÁUDIO,ES,91183244100,87742757986093,True,True
Manuel Frank,69,ABADIA DE GOIÁS,GO,13163936237,48469721905808,True,True
Paul Brennan,47,AÇAILÂNDIA,MA,29019278231,37793898062990,True,True
Erin Obrien,18,ABADIA DOS DOURADOS,MG,56139719860,04451999609124,True,True
Peter Jackson,74,ÁGUA CLARA,MS,10433110090,57978318055141,True,True
Susan Silva,61,ACORIZAL,MT,02242021460,41574152054277,True,True
Madeline Hill,28,ABAETETUBA,PA,76762652824,87230981043380,True,True
Mr. Charles Schwartz,47,ÁGUA BRANCA,PB,01473369290,78060778010570,True,True
Melissa Petersen,90,ABREU E LIMA,PE,92665808641,23803319894828,True,True
Kathryn Fowler,39,ACAUÃ,PI,17694391294,34971771669889,True,True
Shane Villa,59,ABATIÁ,PR,79415329998,51204149855650,True,True
Heather Mosley,84,ANGRA DOS REIS,RJ,73696720852,92484077361979,True,True
Michael Benson,20,ACARI,RN,56297605300,95009048358993,True,True
Joel Kelly,73,ALTA FLORESTA D'OESTE,RO,75297450500,70150966108048,True,True
Miss Christine Allen Dvm,31,AMAJARI,RR,63331267805,37874234002111,True,True
Jose Jenkins,73,ACEGUÁ,RS,66424092307,95869381658771,True,True
David Gill,81,ABDON BATISTA,SC,65601866953,16777448762676,True,True
Aaron Franco,33,AMPARO DE SÃO FRANCISCO,SE,64379535517,52729900630864,True,True
Allen Powell,90,ADAMANTINA,SP,28146746330,75062174631412,True,True
Amber Taylor,41,ABREULÂNDIA,TO,10401840492,27510140066930,True,True
Vanessa Haynes,32,ACRELÂNDIA,AC,75791090854,64644828102910,True,True
Darren Davis,61,ÁGUA BRANCA,AL,11841573329,80592980588081,True,True
Daniel Davis,45,ALVARÃES,AM,80610637355,91637625761158,True,True
William Morales,22,SERRA DO NAVIO,AP,26217700379,39881898166918,True,True
Christina Simpson,67,ABAÍRA,BA,83852685370,93064181937780,True,True
Kevin Wright,75,ABAIARA,CE,24326051442,68004443313214,True,True
Adam Cannon,67,BRASÍLIA,DF,97123605390,38051143111517,True,True
Jason Hall,58,AFONSO CLÁUDIO,ES,20821547348,12558696147768,True,True
Matthew Wagner,67,ABADIA DE GOIÁS,GO,55234980170,58608836326776,True,True
Colleen Hall,41,AÇAILÂNDIA,MA,08946760915,38721671317231,True,True
Robert Smith,61,ABADIA DOS DOURADOS,MG,87241892437,70885137114755,True,True
Ashley Nash,67,ÁGUA CLARA,MS,19486718750,87875762986740,True,True
Jennifer Sullivan,60,ACORIZAL,MT,09588951712,62350742993772,True,True
Daisy Herrera,37,ABAETETUBA,PA,49166470684,40849370899506,True,True
Joshua Garcia,85,ÁGUA BRANCA,PB,71461682045,91915626999105,True,True
William Joseph,49,ABREU E LIMA,PE,32100992864,17806292816432,True,True
Jackie Ford,22,ACAUÃ,PI,72634458401,24836512266932,True,True
Laura Wagner,55,ABATIÁ,PR,17016662608,21142998414880,True,True
Justin Day,23,ANGRA DOS REIS,RJ,65453295708,80358716562011,True,True
Chloe Lambert,76,ACARI,RN,17895378864,80378236559224,True,True
Gary Christensen,53,ALTA FLORESTA D'OESTE,RO,48442882456,37749502065175,True,True
Virginia Thomas,20,AMAJARI,RR,21988421578,38277737307879,True,True
Nicole Spence,33,ACEGUÁ,RS,35001275768,39119095680306,True,True
Bryan Arellano,58,ABDON BATISTA,SC,73551845719,26593989986970,True,True
Thomas Thompson,34,AMPARO DE SÃO FRANCISCO,SE,95227612064,24497914052801,True,True
Tony Murphy,66,ADAMANTINA,SP,09163622211,32375015123710,True,True
Jamie Jones,23,ABREULÂNDIA,TO,10635967260,34835066619750,True,True
Robert Fisher Md,25,ACRELÂNDIA,AC,55176696975,94065124126208,True,True
Calvin Reed,54,ÁGUA BRANCA,AL,47291646367,39441010858801,True,True
Robert Miller,53,ALVARÃES,AM,68554430280,87947728765053,True,True
Kayla Phillips,89,SERRA DO NAVIO,AP,75058963779,01865847744559,True,True
Barbara Holmes,78,ABAÍRA,BA,44670865366,58745957110163,True,True
Samantha Davis Md,85,ABAIARA,CE,57902279889,88129970763624,True,True
John Davis,26,BRASÍLIA,DF,92317078170,02732745199155,True,True
Larry Davis,80,AFONSO CLÁUDIO,ES,50732990270,55545407243846,True,True
Scott Cain,70,ABADIA DE GOIÁS,GO,41784856878,44644314065652,True,True
Ashley Macias,76,AÇAILÂNDIA,MA,96871887318,12095491285169,True,True
Robert Fuller,87,ABADIA DOS DOURADOS,MG,11624364250,81339061208252,True,True
Maria Howard,68,ÁGUA CLARA,MS,84699870384,52807316156100,True,True
Dustin Green,88,ACORIZAL,MT,67873185290,79071773310738,True,True
Colleen Thompson,21,ABAETETUBA,PA,34611438201,84460646065278,True,True
Joshua Ritter,69,ÁGUA BRANCA,PB,70967866359,31157373683315,True,True
Christian Flores,19,ABREU E LIMA,PE,28859771595,82758229347260,True,True
Stacy Combs,69,ACAUÃ,PI,70907181155,29666436255510,True,True
Michael Henry,25,ABATIÁ,PR,68047931962,34785965444383,True,True
Kevin Montgomery,73,ANGRA DOS REIS,RJ,98440335784,84952387553779,True,True
Ryan Ramsey,80,ACARI,RN,36534849607,76128729949290,True,True
Christine Newman,63,ALTA FLORESTA D'OESTE,RO,53703274832,40405077461643,True,True
Laura Brown,76,AMAJARI,RR,83455142001,47884741955898,True,True
Sarah Johnson,66,ACEGUÁ,RS,86212279594,26025023972987,True,True
Amy Bailey,66,ABDON BATISTA,SC,02182723676,42567072630932,True,True
Cody Campbell,32,AMPARO DE SÃO FRANCISCO,SE,65579559933,85555799635033,True,True
Evan Ellis,86,ADAMANTINA,SP,36999750963,35247799534404,True,True
Regina Graves,58,ABREULÂNDIA,TO,29990161402,47588637706635,True,True
Michelle Hernandez,88,ACRELÂNDIA,AC,67677015565,84379015162186,True,True
Andrew Cortez,84,ÁGUA BRANCA,AL,62679509056,34228493852644,True,True
Steven Allen,24,ALVARÃES,AM,17924883606,53717404990124,True,True
Julia Maxwell,24,SERRA DO NAVIO,AP,27717301547,73699236305161,True,True
Michael Lopez,76,ABAÍRA,BA,72760541100,94087887983756,True,True
